ID,Video_ID,Comment,comment_fr,Name
9602,aHbnNG107fk,Victor we are caming for u,Victor we are caming for u,Cyrille Nzouda
9510,7AWxv6uBo2E,Ce monsieur de mon mbok mbok est très mal bête.  Lui là il est très limité et bête. Désolé mais son raisonnement est médiocre.,Ce monsieur de mon mbok mbok est très mal bête.  Lui là il est très limité et bête. Désolé mais son raisonnement est médiocre.,Cyrille Nzouda
2416,N0UXYXoDrZU,et le rdpc il nettoie ses ripoux ?  non sinon le cameroun ne serait pas aussi pauvre et mal développé,et le rdpc il nettoie ses ripoux ?  non sinon le cameroun ne serait pas aussi pauvre et mal développé,International Tchatcho
6389,uHr1LuVT_HU,Please this man should move on with his life and leave the woman. What's a witch father?  I know it's not easy but move on. You cannot trust this woman at all please. Have a courage and have a life man. The child will be your half brother or sister. What a disgusting father and the woman.,Please this man should move on with his life and leave the woman. What's a witch father?  I know it's not easy but move on. You cannot trust this woman at all please. Have a courage and have a life man. The child will be your half brother or sister. What a disgusting father and the woman.,Thierry Aubin Moukam
3593,QHkPsG8PRDg,Merde ! en ecoutant cette colere on sent comment le cameroun est pourri jusqu'a l'os.un pays qui n'est pas gouverné..,Merde ! en ecoutant cette colere on sent comment le cameroun est pourri jusqu'a l'os.un pays qui n'est pas gouverné..,Ben Hassan
7439,zhxv51J3wSQ,Mancho Bibixy is in Jail because he complained of BAD ROADS in Bamenda,Mancho Bibixy is in Jail because he complained of BAD ROADS in Bamenda,Merlin Mpoudeu
3778,ndg52P1Mkio,Send  the messages  to you're  king biya to stop the War,Send  the messages  to you're  king biya to stop the War,Ben Hassan
3979,PMsWWZTGG1k,"Si vous vous faites agresser dans une rue peu importe même reconnue, la responsabilité des autorités et celle de l'agresseur sont au premier plan.","Si vous vous faites agresser dans une rue peu importe même reconnue, la responsabilité des autorités et celle de l'agresseur sont au premier plan.",Ben Hassan
3284,LEwbYKZ0CL8,Le Cameroun continue d'enterrer ses enfants.,Le Cameroun continue d'enterrer ses enfants.,Ben Hassan
5125,QVuCOhksE9w,Vive la chaîne du peuple 🤗🤗🤗,Vive la chaîne du peuple 🤗🤗🤗,Cedric Sougang
4336,2Pmopnkgv9A,Hein papa CA 🤣🤣🤣 la liberté de la femme s'arrête le jour où elle se marie Tu as quand même raison sur 4/5,Hein papa CA 🤣🤣🤣 la liberté de la femme s'arrête le jour où elle se marie Tu as quand même raison sur 4/5,Tchango International
2614,38gtkpa-zxU,"Au final, on ne saurait le dire assez: C'est le systeme. On a beau épiloguer et même rafistoler dedans, ce système n'a donne du bien nulle part. Le gouvernement Camerounais seul sait pourquoi il préfère sacrifier son peuple et son pays dans un système qui ne profite que la France.","Au final, on ne saurait le dire assez: C'est le systeme. On a beau épiloguer et même rafistoler dedans, ce système n'a donne du bien nulle part. Le gouvernement Camerounais seul sait pourquoi il préfère sacrifier son peuple et son pays dans un système qui ne profite que la France.",International Tchatcho
5994,g6T--hjjKgo,Tell us bro Cameroon na wahh,Tell us bro Cameroon na wahh,Cedric Sougang
9755,CX5f-Xka4Bo,La chaîne du peuple au delà de l'infos nous vous rendons compte😊💯💯👌,La chaîne du peuple au delà de l'infos nous vous rendons compte😊💯💯👌,Cyrille Nzouda
76,X_koyjoxmpg,Happy new year to all xxxxx,Bonne année à tous xxxxx,Maxime Pouokam
1544,mRurtsbE__M,"This East Cameroon debate on the return of  Former president Ahmadou Ahidjo's corpse to Cameroon is giving me headache. West Cameroon care less about this. Ahidjo committed two crimes against West Cameroon. 1) He violated the Foumban accord, 2) He gave us Paul Biya. During the fight for the independence of Cameroon, Ahidjo signed a pact with the devil(France). At last it's the devil(France) that betrayed him. As you make your bed, so shall you lie on it. East Cameroon join West Cameroon to liberate Cameroon","This East Cameroon debate on the return of  Former president Ahmadou Ahidjo's corpse to Cameroon is giving me headache. West Cameroon care less about this. Ahidjo committed two crimes against West Cameroon. 1) He violated the Foumban accord, 2) He gave us Paul Biya. During the fight for the independence of Cameroon, Ahidjo signed a pact with the devil(France). At last it's the devil(France) that betrayed him. As you make your bed, so shall you lie on it. East Cameroon join West Cameroon to liberate Cameroon",Charles Ndonzeu
4346,2Pmopnkgv9A,Mr Mbatchou votre humour est contagieux. Bravo a toute l'equipe vous nous proccurer assez de plaisir tous les jours,Mr Mbatchou votre humour est contagieux. Bravo a toute l'equipe vous nous proccurer assez de plaisir tous les jours,Tchango International
2793,0mJKNTeIhJU,"Je ne cesserai jamais de me poser la question de savoir comment des individus tels Samuel Mooth parviennent à devenir député, qu est ce qu on peut vraiment attendre de lui. RIEN","Je ne cesserai jamais de me poser la question de savoir comment des individus tels Samuel Mooth parviennent à devenir député, qu est ce qu on peut vraiment attendre de lui. RIEN",International Tchatcho
5462,bATcNjxmLmw,VOILA UN TAXIMOTO CONSCIENT YES MBOMBOG TT A FAIT TU AS RAISON ..LA NECESSITE POUR TOUT UN CHACUN D'ELEVER SES CONNAISSANCES POUR MIEUX COMPRENDRE LA REALITE  DU CAMEROUN...ET YES C.ARMEL TU AS BIEN RAJOUTE...,VOILA UN TAXIMOTO CONSCIENT YES MBOMBOG TT A FAIT TU AS RAISON ..LA NECESSITE POUR TOUT UN CHACUN D'ELEVER SES CONNAISSANCES POUR MIEUX COMPRENDRE LA REALITE  DU CAMEROUN...ET YES C.ARMEL TU AS BIEN RAJOUTE...,Cedric Sougang
